@relation project-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute SalaryUSD {Low,High,High-Mid,Low-Mid}
@attribute Country {Sweden,USA,UK,Pakistan,Paraguay,India,Serbia-and-Montenegro,Germany,Canada,Dominican-Republic,Slovakia,Brazil,France,Poland,Romania,Ireland,South-Africa,Portugal,CostaRica,Israel,Argentina,Peru,Australia,Venezuela,Spain,Belgium,Malaysia,Netherlands,Russia,Italy,Finland,Turkey,Austria,New-Zealand,Honduras,UAE,Guernsey,Norway,Luxembourg,PuertoRico,Guatemala,Greece,Denmark,Lithuania,Ukraine,Philippines,Hungary,Estonia,Caymans,Croatia,Indonesia,Thailand,Switzerland,Slovenia,Bosnia,Cyprus,Bulgaria,Singapore,Colombia,Chile,Iceland,Macedonia,Jersey,Latvia,CzechRepublic,Mexico,Bangladesh,China,Iran,Qatar,Ecuador,Uruguay,SaudiArabia,Vanuatu,Taiwan,Maldives,Armenia,Swaziland,Georgia,HK,Syria,Bahrain,Moldova,Nicaragua,Jamaica,Malta,Jordan,Uganda,Belarus,Nepal,Ghana,ElSalvador,Albania,Bolivia,Vietnam,Bermuda,Kenya}
@attribute PrimaryDatabase {M,P,A,MA,O,MS,RDS,MDB,DB2,SQLI,C,SAP,T,E}
@attribute YearsWithThisDatabase numeric
@attribute EmploymentStatus {E,EC,IC,P,I}
@attribute JobTitle {D,DBAP,DBAG,M,DA,DT,A,DBAD,E,AN,DS,DBA,PDE,DO,T,DBS,C,SA,S,DBABI,SRC,AC}
@attribute ManageStaff {Y,N}
@attribute YearsWithThisTypeOfJob numeric
@attribute HowManyCompanies numeric
@attribute OtherPeopleOnYourTeam numeric
@attribute EmploymentSector {PB,E,SG,LG,NP,FG,S}
@attribute CareerPlansThisYear {S,C,SR,SE}
@attribute Gender {M,F,NB}
@attribute DatabaseServers numeric
@attribute Education {'Bachelors (4 years)','None (no degree completed)',Masters,'Associates (2 years)',Doctorate/PhD}
@attribute Certifications {N,YesValid,YesExpired}
@attribute HoursWorkedPerWeek numeric
@attribute TelecommuteDaysPerWeek {zero,five,four,one,three,two}

@data
Low-Mid,USA,M,20,E,DBAP,N,3,2.371205,2,PB,S,M,250,Masters,YesExpired,42,zero
High,USA,M,15,E,M,Y,5,2.371205,1,PB,SR,M,150,Masters,YesValid,50,zero
Low,USA,MA,3,E,DA,N,3,2.371205,0,NP,S,M,1,'Bachelors (4 years)',N,40,zero
Low,UK,M,15,E,AN,N,10,2.371205,0,LG,S,M,8,'Bachelors (4 years)',N,37,two
Low-Mid,USA,O,4,E,DBAP,N,2,2.371205,1,LG,S,M,10,'Bachelors (4 years)',N,40,zero
Low-Mid,Canada,M,9,E,D,N,9,2.371205,0,E,S,M,15,'Associates (2 years)',YesExpired,40,zero
High-Mid,USA,M,3,E,DBAP,N,3,2.371205,0,PB,S,M,10,'Bachelors (4 years)',YesValid,55,one
Low-Mid,USA,M,16,E,DBAP,N,16,2.371205,6,PB,S,F,5000,'None (no degree completed)',N,44,one
High,USA,M,10,EC,DBAG,Y,3,2.371205,2,PB,SE,M,50,'None (no degree completed)',YesValid,50,five
High,USA,M,15,E,DBAG,N,1,2.371205,0,PB,S,M,8,'Bachelors (4 years)',N,40,zero
High,USA,M,18,E,DBAG,N,2,2.371205,0,PB,S,M,75,'None (no degree completed)',YesExpired,38,two
High-Mid,USA,M,25,E,DBAD,N,5,2.371205,0,SG,S,M,4,'None (no degree completed)',YesExpired,40,one
Low-Mid,Canada,M,20,E,DA,Y,2,2.371205,0,PB,S,M,3,'Bachelors (4 years)',YesExpired,50,zero
High-Mid,USA,M,20,E,DBAD,N,20,2.371205,5,PB,S,M,900,'Bachelors (4 years)',N,45,two
Low-Mid,UK,M,15,E,DT,N,2,2.371205,2,PB,S,F,3,'Bachelors (4 years)',N,40,one
High,USA,M,17,E,DBAG,Y,29,2.371205,0,PB,S,M,2,'Bachelors (4 years)',YesExpired,40,zero
High-Mid,USA,M,9,E,DBAG,N,2,2.371205,1,PB,S,F,40,'Bachelors (4 years)',YesValid,45,zero
Low-Mid,USA,M,13,E,DBAG,N,13,2.371205,0,LG,S,F,20,Masters,N,40,zero
High-Mid,USA,M,15,E,DBAG,N,15,2.371205,0,SG,S,F,15,Masters,YesValid,40,zero
Low-Mid,USA,M,10,E,DBAP,N,5,2.371205,3,PB,S,F,20,'Bachelors (4 years)',YesValid,55,zero
High-Mid,USA,M,15,E,DBAG,N,2,2.371205,1,PB,S,F,12,'Bachelors (4 years)',N,50,five
Low,Canada,O,8,E,AN,N,8,2.371205,1,PB,C,M,100,'None (no degree completed)',YesExpired,37,one
High-Mid,USA,M,20,E,DBAP,N,7,2.371205,4,PB,S,M,300,'Bachelors (4 years)',YesExpired,50,three
High,USA,M,15,E,DBAG,N,1,2.371205,0,PB,SR,M,50,'None (no degree completed)',N,60,two
Low,India,M,8,E,DT,Y,4,2.371205,2,PB,S,M,8,'Bachelors (4 years)',N,50,five
High,USA,M,15,EC,DBAG,N,1,2.371205,1,PB,S,M,200,'None (no degree completed)',N,60,two
Low-Mid,New-Zealand,M,20,E,A,N,1,2.371205,3,PB,S,M,230,'None (no degree completed)',YesExpired,40,one
High,USA,M,21,E,DBAG,N,21,2.371205,0,PB,S,M,26,'Bachelors (4 years)',N,45,one
High-Mid,USA,M,18,EC,DBAD,N,2,2.371205,1,SG,S,M,14,'Bachelors (4 years)',N,40,zero
High-Mid,USA,M,20,E,DBAG,N,2,2.371205,0,PB,S,M,6,'Associates (2 years)',YesValid,40,one
Low,Canada,M,5,EC,DBAG,N,5,2.371205,6,PB,SE,M,400,'Associates (2 years)',N,40,zero
High,USA,M,16,E,DBAP,N,21,2.371205,1,PB,S,M,35,Masters,YesExpired,40,three
High-Mid,USA,O,2,E,AN,N,2,2.371205,1,E,S,M,10,Doctorate/PhD,N,40,zero
Low,Australia,M,2,P,DBAP,N,2,2.371205,0,PB,S,M,15,'Associates (2 years)',YesValid,24,zero
Low-Mid,USA,O,2,E,DBAG,N,1,2.371205,0,PB,S,M,2,'Bachelors (4 years)',YesValid,44,zero
High-Mid,Canada,M,15,E,DBAP,N,13,2.371205,1,SG,S,M,50,'Associates (2 years)',N,37,zero
Low,Thailand,M,4,E,DBAG,N,4,2.371205,2,PB,S,M,100,'Bachelors (4 years)',N,40,zero
Low-Mid,Canada,M,7,E,AN,N,31,2.371205,1,PB,SE,M,5,'Bachelors (4 years)',N,40,zero
Low-Mid,Australia,M,7,E,D,Y,1,2.371205,6,PB,SR,M,3,Masters,YesExpired,38,one
Low-Mid,USA,M,12,E,DA,N,11,2.371205,4,E,SE,M,8,'None (no degree completed)',N,36,zero
Low,Turkey,M,2,E,DBAD,N,2,2.371205,0,PB,C,M,3,'Bachelors (4 years)',N,40,zero
Low,Moldova,M,10,EC,M,Y,10,2.371205,1,PB,S,M,20,Masters,YesExpired,40,zero
Low,Serbia-and-Montenegro,M,7,E,E,N,7,2.371205,1,SG,S,M,2,'Bachelors (4 years)',YesExpired,40,five
High,USA,RDS,10,E,E,N,3,2.371205,0,PB,S,M,500000,'Bachelors (4 years)',YesExpired,50,zero
Low-Mid,UK,M,8,E,DBAP,Y,4,2.371205,3,NP,S,M,500,'None (no degree completed)',YesExpired,40,one
Low-Mid,Poland,M,10,E,DBAD,N,5,2.371205,1,PB,S,M,14,Masters,YesValid,40,two
Low,Austria,M,5,E,DBAD,N,4,2.371205,1,PB,SE,F,5,Masters,YesValid,40,zero
Low,UK,M,15,E,DBAP,N,15,2.371205,0,PB,S,M,70,'Bachelors (4 years)',YesExpired,35,one
Low,India,M,2,E,D,Y,2,2.371205,4,PB,SR,M,2,Masters,N,40,zero
Low,UK,M,10,E,E,N,15,2.371205,0,E,S,M,15,'None (no degree completed)',N,37,zero
High-Mid,UK,M,22,IC,DBAG,N,2,2.371205,1,PB,S,M,120,'Bachelors (4 years)',YesExpired,35,zero
Low-Mid,Netherlands,M,9,E,D,N,1,2.371205,1,PB,S,M,40,'Bachelors (4 years)',YesValid,40,one
High-Mid,USA,M,8,E,DBAG,N,8,2.371205,4,PB,S,M,450,'Bachelors (4 years)',YesExpired,45,zero
High-Mid,USA,M,17,E,DT,N,3,2.371205,2,PB,SR,M,6,'Bachelors (4 years)',YesValid,43,two
High,USA,M,23,E,DBAD,N,22,2.371205,0,PB,S,M,350,'Bachelors (4 years)',YesValid,45,zero
High-Mid,USA,M,8,E,M,Y,1,2.371205,0,PB,S,M,50,'Bachelors (4 years)',N,40,zero
Low-Mid,USA,M,12,E,DBAG,N,3,2.371205,0,PB,S,M,15,'Bachelors (4 years)',N,65,zero
High-Mid,USA,M,10,E,DBAG,N,10,2.371205,6,PB,SE,M,1000,'Associates (2 years)',YesValid,40,one
Low,USA,M,3,E,DBAG,N,3,2.371205,4,PB,S,F,53,Masters,N,37,zero
High-Mid,USA,M,3,E,DBAG,N,5,2.371205,0,PB,SE,M,3,'Bachelors (4 years)',N,50,one
Low,UK,M,15,E,DBAP,N,1,2.371205,0,LG,SR,M,75,'Bachelors (4 years)',N,35,zero
Low-Mid,USA,M,3,E,DBAG,N,2,2.371205,0,PB,S,M,3,'None (no degree completed)',N,40,zero
Low-Mid,Switzerland,M,7,E,DA,N,7,2.371205,3,PB,C,M,3,Masters,YesExpired,40,zero
Low,UK,M,1,E,DBAG,N,1,2.371205,1,NP,S,M,150,'Bachelors (4 years)',YesValid,40,one
High,UK,M,11,E,DBAP,N,5,2.371205,3,PB,S,M,30,'None (no degree completed)',YesExpired,40,one
High,USA,M,15,E,DBAP,N,0,2.371205,0,PB,S,M,50,'Bachelors (4 years)',YesExpired,60,five
Low-Mid,USA,M,7,E,DBAP,N,7,2.371205,2,PB,S,M,60,'Bachelors (4 years)',N,40,one
High,USA,M,20,E,DBAP,N,5,2.371205,4,PB,S,M,100,'Associates (2 years)',YesValid,40,one
Low-Mid,USA,M,3,E,DA,N,6,2.371205,1,PB,S,M,3,'Bachelors (4 years)',N,50,zero
High,USA,M,12,EC,A,N,1,2.371205,0,PB,S,M,50,Masters,YesValid,50,five
Low-Mid,USA,M,5,E,A,N,1,2.371205,0,PB,S,M,20,'Bachelors (4 years)',YesValid,45,zero
High,USA,P,2,E,A,Y,20,2.371205,2,PB,SE,M,100,Masters,YesExpired,50,two
High-Mid,USA,M,11,E,DBAG,N,3,2.371205,1,NP,S,M,200,'None (no degree completed)',N,40,three
Low-Mid,USA,M,5,E,M,Y,5,2.371205,0,NP,C,F,3,'Bachelors (4 years)',N,40,zero
Low-Mid,USA,M,10,E,D,N,6,2.371205,0,PB,S,M,4,'Bachelors (4 years)',N,70,zero
Low-Mid,USA,M,20,E,A,N,5,2.371205,0,PB,SR,M,2,'Bachelors (4 years)',YesExpired,45,zero
High-Mid,USA,M,22,E,DBAG,N,1,2.371205,0,PB,S,M,10,'None (no degree completed)',YesValid,45,zero
High,USA,M,18,E,M,Y,18,2.371205,2,PB,S,M,6,'Bachelors (4 years)',YesExpired,40,zero
High,USA,M,19,E,DT,N,19,2.371205,5,PB,S,M,40,'None (no degree completed)',YesExpired,45,one
Low,USA,M,7,E,DBAG,N,7,2.371205,0,NP,S,M,20,'None (no degree completed)',N,40,three
Low-Mid,USA,M,15,E,DBAP,N,10,2.371205,0,LG,S,F,35,'Bachelors (4 years)',N,40,two
High,USA,M,10,E,DBAG,Y,7,2.371205,0,PB,S,M,3,'Bachelors (4 years)',N,40,zero
Low,USA,M,17,EC,DBAP,N,17,2.371205,6,PB,S,F,500,'None (no degree completed)',N,50,three
Low-Mid,USA,M,6,E,DBAG,N,2,2.371205,0,PB,SR,M,8,'Associates (2 years)',YesExpired,40,five
Low,Brazil,M,8,EC,DBAG,N,8,2.371205,2,PB,SR,M,50,'Associates (2 years)',YesExpired,52,one
High,USA,M,10,E,DT,N,1,2.371205,2,PB,C,M,10,'Bachelors (4 years)',N,50,zero
Low,USA,M,1,E,DBAP,N,1,2.371205,4,PB,S,M,8,'Bachelors (4 years)',N,45,one
Low,USA,M,10,E,DBAG,N,12,2.371205,0,PB,S,F,25,'Bachelors (4 years)',N,42,zero
High-Mid,USA,M,12,E,DBAD,N,11,2.371205,0,PB,SE,M,175,'Bachelors (4 years)',N,50,two
Low-Mid,USA,M,10,E,DBAG,N,6,2.371205,0,E,S,M,4,'Bachelors (4 years)',YesExpired,40,zero
Low,USA,M,2,E,DBAG,N,2,2.371205,0,PB,S,M,15,'Associates (2 years)',N,40,zero
Low-Mid,UK,M,17,E,DT,N,1,2.371205,2,PB,S,M,5,'Bachelors (4 years)',YesValid,40,zero
Low,USA,M,3,E,DBAG,N,3,2.371205,1,PB,S,M,100,'Bachelors (4 years)',N,40,three
Low-Mid,USA,M,3,E,DBAP,N,8,2.371205,0,LG,S,F,42,'Bachelors (4 years)',N,45,two
High,USA,M,25,E,DBAP,Y,5,2.371205,1,PB,S,M,400,Masters,YesExpired,50,three
High,USA,M,3,E,DBAP,N,3,2.371205,1,PB,S,M,100,'Bachelors (4 years)',YesExpired,65,zero
Low-Mid,USA,M,1,EC,DBAG,N,1,2.371205,2,PB,S,M,5,'Bachelors (4 years)',N,50,two
Low-Mid,USA,M,2,EC,DBAP,N,2,2.371205,0,PB,SR,M,40,Masters,N,40,one
High,USA,O,8,E,DBAG,N,8,2.371205,1,PB,SR,M,7,'Bachelors (4 years)',N,50,zero
Low,Nicaragua,P,7,E,DBAP,N,7,2.371205,3,LG,SR,M,70,Masters,YesValid,40,zero
High-Mid,USA,M,6,E,DBAG,N,6,2.371205,0,PB,S,F,15,'Bachelors (4 years)',YesExpired,40,zero
High,Australia,M,10,E,DBAP,N,3,2.371205,2,PB,S,M,500,'Bachelors (4 years)',YesValid,40,zero
Low,Canada,M,5,E,DBAG,Y,5,2.371205,1,PB,S,M,300,'None (no degree completed)',N,32,five
Low-Mid,UK,M,17,P,DBAG,Y,7,2.371205,1,PB,S,F,20,Masters,YesExpired,35,zero
Low,UK,M,8,IC,DT,N,1,2.371205,0,PB,S,M,4,Doctorate/PhD,N,35,five
High-Mid,Australia,M,11,E,DA,N,11,2.371205,1,PB,SR,M,10,'Bachelors (4 years)',N,40,zero
High,USA,M,18,E,A,N,15,2.371205,1,E,S,M,30,'Bachelors (4 years)',YesExpired,50,one
High,USA,M,15,E,D,N,15,2.371205,1,PB,SE,M,10,Masters,N,50,five
Low-Mid,Lithuania,M,15,E,DBAG,N,2,2.371205,3,PB,S,M,50,Masters,YesExpired,50,five
Low,Romania,M,5,E,DT,N,3,2.371205,1,PB,SR,M,5,Masters,N,40,zero
High-Mid,USA,M,20,E,A,N,8,2.371205,0,FG,S,M,10,'Associates (2 years)',YesExpired,45,one
High-Mid,USA,M,10,E,M,Y,7,2.371205,6,NP,S,M,10,'Bachelors (4 years)',N,50,zero
High,USA,M,7,E,DT,N,7,2.371205,3,PB,S,M,2,'None (no degree completed)',YesExpired,40,five
Low,UK,M,9,E,DBAP,N,9,2.371205,0,PB,SR,M,80,'None (no degree completed)',YesValid,37,zero
Low-Mid,USA,M,10,E,DBAG,N,4,2.371205,4,PB,SE,M,150,'Associates (2 years)',N,40,one
Low,UK,M,14,E,DBAP,N,5,2.371205,6,PB,SR,M,800,'Bachelors (4 years)',N,37,five
High,USA,M,21,E,DBAG,N,21,2.371205,5,PB,C,M,100,'None (no degree completed)',YesExpired,45,five
High,USA,M,17,EC,DBAG,Y,2,2.371205,0,FG,SE,M,15,'None (no degree completed)',YesValid,60,three
Low-Mid,USA,M,20,EC,DT,N,10,2.371205,0,PB,S,F,10,'Bachelors (4 years)',N,45,zero
High-Mid,USA,M,7,E,D,N,7,2.371205,6,PB,S,M,10,'Bachelors (4 years)',N,40,zero
Low-Mid,USA,M,10,E,DBAG,N,8,2.371205,0,PB,S,M,14,Masters,YesValid,38,zero
High-Mid,USA,O,10,E,DT,N,10,2.371205,1,PB,SR,M,10,Masters,YesValid,50,zero
Low-Mid,USA,M,7,E,A,N,2,2.371205,0,E,S,M,30,Masters,N,45,one
High,USA,M,13,E,AN,N,10,2.371205,3,PB,S,M,50,'Bachelors (4 years)',N,40,zero
Low,UK,M,10,EC,DBAG,Y,1,2.371205,3,PB,S,M,3,Doctorate/PhD,YesExpired,40,one
High-Mid,USA,M,15,E,D,N,10,2.371205,0,LG,S,M,10,'Bachelors (4 years)',N,50,two
High,USA,M,23,E,M,Y,5,2.371205,0,PB,SE,M,172,'Bachelors (4 years)',YesValid,50,two
High-Mid,USA,M,8,EC,DT,Y,4,2.371205,0,PB,S,M,5,'Bachelors (4 years)',N,40,zero
High,USA,M,15,E,DBAP,Y,1,2.371205,0,PB,SR,M,100,'None (no degree completed)',YesValid,50,one
High,UK,M,18,IC,DT,N,7,2.371205,0,PB,SR,M,6,'Bachelors (4 years)',YesValid,38,two
High-Mid,USA,M,3,IC,DT,Y,25,2.371205,2,NP,S,M,4,Masters,N,53,five
Low-Mid,USA,M,18,E,DT,Y,1,2.371205,0,PB,SE,M,3,Masters,YesValid,45,zero
High,USA,M,22,E,M,Y,5,2.371205,0,PB,C,M,5,'Bachelors (4 years)',N,44,zero
Low-Mid,USA,M,25,E,DBAG,Y,20,2.371205,1,PB,S,M,75,Masters,YesExpired,45,one
Low-Mid,USA,M,8,E,DBAP,N,1,2.371205,5,NP,S,M,180,'None (no degree completed)',YesExpired,50,five
High-Mid,USA,M,18,E,DBAG,N,10,2.371205,1,E,S,F,30,'None (no degree completed)',N,45,five
High,USA,M,6,E,DT,Y,6,2.371205,2,PB,C,M,15,'Bachelors (4 years)',N,50,zero
High,USA,M,22,E,D,N,25,2.371205,4,PB,S,M,120,'Bachelors (4 years)',N,50,four
High-Mid,USA,M,7,E,AN,N,7,2.371205,1,PB,SE,M,5,'None (no degree completed)',N,50,one
Low,UK,M,20,E,D,N,1,2.371205,4,PB,SR,M,30,'Bachelors (4 years)',N,35,zero
Low-Mid,Netherlands,O,18,EC,DBAP,Y,8,2.371205,2,PB,SE,F,4,'Bachelors (4 years)',YesExpired,40,one
High,USA,M,16,E,A,N,1,2.371205,0,PB,S,M,20,'None (no degree completed)',N,50,five
High-Mid,USA,M,17,E,DT,N,6,2.371205,3,NP,S,F,4,'Bachelors (4 years)',YesValid,42,zero
High-Mid,USA,M,10,E,DT,N,4,2.371205,4,PB,SR,M,12,'Bachelors (4 years)',N,38,one
High,USA,M,1,E,A,N,1,2.371205,1,PB,S,F,5,Masters,N,40,five
Low,USA,MA,25,E,DA,N,4,2.371205,0,FG,C,F,2,Masters,N,90,five
Low,Mexico,M,12,E,DBAG,N,6,2.371205,0,PB,S,M,6,'Bachelors (4 years)',N,48,zero
High-Mid,USA,M,8,E,DBAP,N,2,2.371205,3,PB,S,M,100,'Bachelors (4 years)',N,40,five
Low-Mid,Ireland,M,14,E,D,N,1,2.371205,2,PB,S,M,5,'Bachelors (4 years)',N,38,two
Low,Australia,M,20,E,DA,N,17,2.371205,1,PB,S,M,3,'None (no degree completed)',N,40,zero
Low,UK,M,12,E,DBAP,N,4,2.371205,6,PB,SE,M,200,'Bachelors (4 years)',YesValid,50,one
Low,Greece,M,6,E,M,N,5,2.371205,0,PB,S,M,2,'Bachelors (4 years)',YesExpired,43,zero
Low,Lithuania,M,6,E,DT,N,1,2.371205,1,PB,S,M,14,'Bachelors (4 years)',YesValid,40,zero
Low,USA,M,9,E,AN,N,8,2.371205,3,E,C,F,1,'Bachelors (4 years)',N,40,zero
High,USA,M,25,E,DBAP,N,2,2.371205,0,FG,S,M,49,Masters,YesExpired,42,one
Low-Mid,Australia,M,4,E,DBAP,N,4,2.371205,3,PB,S,M,100,'Bachelors (4 years)',N,45,zero
High,Australia,M,18,E,D,N,4,2.371205,3,PB,S,M,4,'Bachelors (4 years)',N,40,two
Low-Mid,USA,MA,15,E,DT,N,15,2.371205,3,PB,C,M,0,'Bachelors (4 years)',YesValid,40,zero
High,USA,M,13,E,DBAG,N,3,2.371205,1,PB,S,M,50,Masters,YesExpired,35,zero
High-Mid,USA,M,10,E,DT,Y,2,2.371205,1,PB,S,M,5,'Bachelors (4 years)',YesExpired,50,zero
High,USA,M,30,E,DBAG,N,30,2.371205,0,PB,S,F,50,'Associates (2 years)',YesValid,50,two
High,USA,M,5,E,DBAP,Y,1,2.371205,6,PB,SE,M,250,'Bachelors (4 years)',YesExpired,45,zero
High,USA,M,9,EC,DA,N,9,2.371205,0,FG,S,M,1,'Bachelors (4 years)',N,40,two
High-Mid,USA,M,8,E,DBAG,N,8,2.371205,6,PB,S,M,400,Masters,N,40,four
Low-Mid,USA,M,11,E,AN,N,11,2.371205,0,PB,S,M,10,'Bachelors (4 years)',YesExpired,50,four
High,USA,M,14,E,DBAG,N,2,2.371205,0,PB,S,M,3,'Bachelors (4 years)',YesValid,40,five
High-Mid,USA,O,25,EC,DBAP,N,25,2.371205,4,PB,S,M,1000,'Bachelors (4 years)',N,40,five
Low-Mid,USA,M,10,E,DT,N,7,2.371205,0,E,S,M,3,'Bachelors (4 years)',YesValid,50,four
High,USA,M,18,E,DBAP,N,4,2.371205,0,PB,S,M,100,'Bachelors (4 years)',YesValid,40,four
High,USA,M,17,E,M,Y,7,2.371205,0,PB,S,M,325,'None (no degree completed)',YesValid,45,three
High,USA,M,20,E,M,Y,1,2.371205,0,PB,S,M,100,'None (no degree completed)',YesValid,55,zero
Low,Poland,M,4,E,DBAP,N,6,2.371205,6,PB,S,M,50,'None (no degree completed)',YesValid,41,zero
High,USA,M,16,E,AN,N,20,2.371205,6,PB,S,M,10,'Bachelors (4 years)',N,45,zero
High,USA,M,7,E,M,Y,5,2.371205,0,PB,SE,M,4,'Bachelors (4 years)',N,50,zero
Low-Mid,Australia,M,10,E,AN,N,15,2.371205,0,PB,SE,M,20,'None (no degree completed)',YesExpired,47,zero
Low-Mid,Germany,M,10,E,M,Y,4,2.371205,0,PB,S,M,5,Masters,YesValid,40,one
Low-Mid,USA,M,12,E,DA,N,1,2.371205,1,PB,S,F,14,'None (no degree completed)',YesExpired,45,zero
High-Mid,USA,M,10,E,DBAP,N,6,2.371205,0,PB,SE,M,32,'None (no degree completed)',YesExpired,40,zero
High-Mid,Australia,M,18,E,DBAG,N,5,2.371205,0,PB,S,M,20,'None (no degree completed)',N,38,one
Low-Mid,USA,M,7,E,DT,N,3,2.371205,3,PB,S,M,15,'None (no degree completed)',YesExpired,40,zero
Low-Mid,Australia,M,6,E,AN,N,6,2.371205,0,PB,S,F,2,Doctorate/PhD,N,40,zero
Low,Philippines,M,10,E,A,N,5,2.371205,0,PB,S,M,4,'Bachelors (4 years)',N,40,two
Low-Mid,Australia,M,12,E,A,Y,2,2.371205,0,PB,SE,M,14,Masters,YesExpired,45,one
Low,Russia,M,5,E,M,Y,3,2.371205,0,PB,SE,M,3,'Bachelors (4 years)',YesValid,45,zero
High-Mid,USA,M,15,E,DBAD,N,15,2.371205,1,PB,SR,M,6,'Bachelors (4 years)',YesExpired,40,five
Low,USA,M,1,E,DBAD,N,1,2.371205,0,PB,S,M,2,'Bachelors (4 years)',N,45,zero
High,Switzerland,M,18,E,DBAG,Y,15,2.371205,0,PB,S,M,47,'None (no degree completed)',N,45,zero
Low,Netherlands,M,3,E,DBAP,N,3,2.371205,2,FG,S,M,150,'Bachelors (4 years)',YesValid,36,zero
Low-Mid,Norway,M,7,E,E,N,9,2.371205,0,LG,S,M,5,'Associates (2 years)',N,38,zero
Low,UK,M,11,E,DT,N,11,2.371205,4,PB,S,M,6,'None (no degree completed)',N,35,zero
High-Mid,USA,M,7,E,DA,Y,12,2.371205,1,PB,SE,M,3,'Bachelors (4 years)',YesValid,45,one
High-Mid,UK,M,15,IC,DBAD,N,1,2.371205,0,PB,SR,M,9,'Bachelors (4 years)',YesExpired,35,zero
Low,UK,M,15,E,D,N,10,2.371205,3,PB,SR,M,1,'Bachelors (4 years)',N,40,zero
Low,UK,M,15,E,DA,Y,8,2.371205,0,FG,S,M,7,'Bachelors (4 years)',N,40,zero
Low,UK,M,20,E,DBAD,Y,1,2.371205,0,PB,S,F,2,'Bachelors (4 years)',YesExpired,40,one
Low,Turkey,M,7,E,DT,Y,3,2.371205,2,PB,SR,M,30,'Bachelors (4 years)',N,48,zero
Low,Netherlands,M,1,EC,DA,N,7,2.371205,0,PB,S,M,4,'Bachelors (4 years)',YesValid,40,zero
Low,UK,O,7,E,D,Y,7,2.371205,0,SG,SE,M,6,Masters,YesValid,40,one
Low,UK,M,15,E,AN,N,20,2.371205,6,PB,SE,M,20,'Bachelors (4 years)',YesExpired,40,zero
Low,Russia,M,5,E,DBAP,N,1,2.371205,0,PB,C,M,15,'None (no degree completed)',YesValid,40,zero
Low,UK,M,6,E,DBAG,N,6,2.371205,1,NP,SR,M,9,'Bachelors (4 years)',N,40,two
Low,USA,M,5,E,DT,N,3,2.371205,0,PB,S,F,3,Masters,YesValid,45,zero
Low-Mid,Netherlands,M,20,E,M,Y,5,2.371205,2,PB,SE,M,30,'None (no degree completed)',YesExpired,40,one
Low,USA,M,3,E,DBAG,N,3,2.371205,1,PB,S,M,7,'Associates (2 years)',YesValid,40,zero
Low-Mid,USA,M,9,E,DA,N,6,2.371205,6,PB,SE,M,10,'Bachelors (4 years)',YesExpired,40,zero
High-Mid,USA,M,7,E,M,Y,7,2.371205,0,PB,S,M,2,'Bachelors (4 years)',YesExpired,45,zero
High-Mid,USA,M,10,E,DBAP,N,10,2.371205,1,PB,S,M,200,'Bachelors (4 years)',YesExpired,45,zero
Low,USA,M,2,E,DT,N,1,2.371205,3,PB,S,M,9,'Bachelors (4 years)',N,40,zero
Low-Mid,USA,M,6,E,DBAG,Y,1,2.371205,0,PB,SR,M,6,'Associates (2 years)',N,50,zero
Low-Mid,USA,M,18,E,DBAG,N,25,2.371205,6,PB,C,M,1000,'Associates (2 years)',N,43,zero
Low-Mid,Canada,M,13,E,DBAD,Y,8,2.371205,1,PB,S,M,10,'Bachelors (4 years)',YesValid,40,zero
High,USA,M,15,E,A,Y,4,2.371205,3,PB,S,M,6,'Bachelors (4 years)',N,53,zero
Low,Canada,M,15,E,A,N,11,2.371205,0,SG,S,M,130,'Bachelors (4 years)',N,35,zero
Low,India,M,10,E,DBAD,N,9,2.371205,1,PB,S,M,3,'Bachelors (4 years)',YesExpired,40,zero
High,USA,M,15,E,DBAD,Y,2,2.371205,2,PB,S,M,30,Masters,YesValid,40,one
Low-Mid,France,M,9,E,DBAP,N,2,2.371205,0,PB,SR,M,280,Masters,N,42,zero
High,USA,M,20,EC,A,N,4,2.371205,6,PB,SR,M,20,'Bachelors (4 years)',YesValid,45,one
Low-Mid,USA,M,11,E,D,N,1,2.371205,1,PB,S,M,20,Doctorate/PhD,YesValid,40,one
High-Mid,USA,M,15,E,DBAP,N,1,2.371205,0,PB,S,M,10,'Bachelors (4 years)',YesExpired,50,zero
Low,UK,M,17,E,AN,N,17,2.371205,0,PB,S,M,1,'None (no degree completed)',N,40,zero
High,USA,M,18,E,DBAD,N,6,2.371205,3,PB,SR,M,5,'Bachelors (4 years)',YesExpired,45,zero
High,USA,M,18,E,D,Y,8,2.371205,2,PB,S,M,5,'Bachelors (4 years)',N,40,two
Low,USA,M,6,E,DBAG,N,6,2.371205,1,E,S,M,20,Doctorate/PhD,YesExpired,40,zero
Low-Mid,USA,M,15,E,DBAD,N,1,2.371205,0,PB,S,M,12,'Bachelors (4 years)',N,40,two
Low-Mid,Sweden,M,18,EC,DBAG,N,1,2.371205,3,PB,SE,M,1,Masters,YesExpired,40,zero
High-Mid,USA,M,8,E,M,Y,2,2.371205,0,PB,S,M,25,'None (no degree completed)',N,45,zero
Low-Mid,USA,M,10,E,DBAG,N,10,2.371205,0,NP,S,M,4,'Bachelors (4 years)',N,40,three
